	AbsoluteDifferenceBestKnownToBest	Best training solution generation	Best training solution quality	Best training solution.Average relative error (test)	Best training solution.Average relative error (training)	Best training solution.Estimation Limits Results.Estimation Limits	Best training solution.Estimation Limits Results.Test Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Test NaN Evaluations	Best training solution.Estimation Limits Results.Test Upper Estimation Limit Hits	Best training solution.Estimation Limits Results.Training Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Training NaN Evaluations	Best training solution.Estimation Limits Results.Training Upper Estimation Limit Hits	Best training solution.Mean absolute error (test)	Best training solution.Mean absolute error (training)	Best training solution.Mean squared error (test)	Best training solution.Mean squared error (training)	Best training solution.Model Depth	Best training solution.Model Length	Best training solution.Normalized mean squared error (test)	Best training solution.Normalized mean squared error (training)	Best training solution.Pearson's R² (test)	Best training solution.Pearson's R² (training)	Best training solution.ProblemData	Best training solution.Root mean squared error (test)	Best training solution.Root mean squared error (training)	BestQuality	CurrentAverageQuality	CurrentBestQuality	EstimationLimits	Execution Time	FitnessCalculationPartition	Problem Name	ProblemData	ProblemData.TestPartition	ProblemData.TrainingPartition	RelativeDifferenceBestKnownToBest	Seed	SymbolicExpressionTreeInterpreter.EvaluatedSolutions	Variable impacts
Test_01_Keijzer Run 10	0.022755143876652895	106	0.99275514387665287	NaN	NaN	Lower: -48.6923926387454, Upper: 57.2744546734663	0	0	0	0	0	0	0.067907059716871179	0.068133796370244609	0.0077609051597220466	0.0073064151305902766	16	22	0.0084106132879582431	0.0072448561233477036	0.991598704787164	0.99275514387665287	Keijzer 9 f(x) = arcsinh(x)  i.e. ln(x + sqrt(x² + 1))	0.088095999680587345	0.085477570921208779	0.99275514387665287	0.14185617875653794	0.99275514387665287	Lower: -48.6923926387454, Upper: 57.2744546734663	00:00:05.2237423	Start: 0, End: 101	Keijzer 9 f(x) = arcsinh(x)  i.e. ln(x + sqrt(x² + 1))	Keijzer 9 f(x) = arcsinh(x)  i.e. ln(x + sqrt(x² + 1))	Start: 101, End: 1102	Start: 0, End: 101	2.34589112130442 %	1324568917	37108	[[1]]
Test_01_Keijzer Run 11	0.02749821265698893	98	0.9974982126569889	NaN	NaN	Lower: -48.6923926387454, Upper: 57.2744546734663	0	0	0	0	0	0	0.042490288235912541	0.041527893463466033	0.0029213831392403355	0.0025230448452367156	12	20	0.0031659482166629133	0.0025017873430109006	0.99689186497669668	0.9974982126569889	Keijzer 9 f(x) = arcsinh(x)  i.e. ln(x + sqrt(x² + 1))	0.054049820899243831	0.050229919821125693	0.9974982126569889	0.11433452205852386	0.9974982126569889	Lower: -48.6923926387454, Upper: 57.2744546734663	00:00:05.2792094	Start: 0, End: 101	Keijzer 9 f(x) = arcsinh(x)  i.e. ln(x + sqrt(x² + 1))	Keijzer 9 f(x) = arcsinh(x)  i.e. ln(x + sqrt(x² + 1))	Start: 101, End: 1102	Start: 0, End: 101	2.83486728422566 %	988716675	37118	[[1]]
Test_01_Keijzer Run 1	-0.0077097697578341062	71	0.96229023024216587	NaN	14.2797447617366 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	101	0	0	0	0	0.039563056347168966	0.031063442980276704	0.0071700320701943545	0.00244300207315854	15	33	0.099517134952807923	0.037709769757834	0.90115291414901877	0.96229023024216587	Keijzer 10 f(x, y) = x ^ y	0.084676041890220363	0.049426734397070377	0.96229023024216587	0.10670735342647114	0.96229023024216587	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.8373441	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-0.79482162451898 %	5868059	37143	[[0.623][0.377]]
Test_01_Keijzer Run 2	-0.01098460889469266	96	0.95901539110530731	NaN	19.6923231496365 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	101	0	0	0	0	0.039830278038907152	0.034809800107603983	0.0045303853622519642	0.0026551603242425731	12	18	0.062879910029639524	0.040984608894691514	0.93738869459768348	0.95901539110530731	Keijzer 10 f(x, y) = x ^ y	0.067308137414817559	0.051528247828182293	0.95901539110530731	0.13189443098945378	0.95901539110530731	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.7147616	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-1.13243390666935 %	2136373461	37118	[[0.51][0.49]]
Test_01_Keijzer Run 3	-0.021880943811908971	92	0.948119056188091	NaN	42.9283079171463 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.041575431516299992	0.0403276693726174	0.00415160497366852	0.0033610720538431176	13	24	0.0576225919759543	0.051880943811908518	0.9425631767730076	0.948119056188091	Keijzer 10 f(x, y) = x ^ y	0.064432949441015963	0.057974753590188874	0.948119056188091	0.21047151988489968	0.948119056188091	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.3539125	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-2.25576740328958 %	1436035559	37143	[[0.502][0.498]]
Test_01_Keijzer Run 4	-0.012805724522410022	109	0.95719427547759	NaN	11.8494084959268 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.037461263145210331	0.034781399534477606	0.0035066777441108213	0.0027731400754462871	22	36	0.048671263793555554	0.042805724522410382	0.95151996976386166	0.95719427547759	Keijzer 10 f(x, y) = x ^ y	0.059217208175587115	0.052660612182600833	0.95719427547759	0.11584760460442485	0.95719427547759	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.9039818	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-1.32017778581547 %	442988560	37118	[[0.544][0.456]]
Test_01_Keijzer Run 5	-0.01539321898254431	102	0.95460678101745566	NaN	16.0949147444068 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.041098875014334062	0.038055029094937493	0.0042149049220561981	0.0029407691639024278	10	20	0.058501169567313507	0.045393218982545634	0.94158872219701206	0.95460678101745566	Keijzer 10 f(x, y) = x ^ y	0.064922299112525256	0.054228859142549067	0.95460678101745566	0.17694998177030435	0.95460678101745566	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.5649989	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-1.58692979201488 %	1893701711	37188	[[0.547][0.453]]
Test_01_Keijzer Run 6	-0.019315637676524333	100	0.95068436232347564	NaN	9.23841268671321 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.043904182381516874	0.03875556835835689	0.0044648610871401316	0.00319488042108381	16	22	0.061970459686161224	0.049315637676523458	0.93873638664768289	0.95068436232347564	Keijzer 10 f(x, y) = x ^ y	0.066819616035563481	0.056523273269369408	0.95068436232347564	0.10061283717815385	0.95068436232347564	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.5312075	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-1.99130285324993 %	2066404599	37143	[[0.507][0.493]]
Test_01_Keijzer Run 7	-0.013416280907328049	111	0.95658371909267192	NaN	9.46598887891597 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.043087372914004683	0.0390583500962195	0.0038470420434667156	0.00281269456023129	15	33	0.053395382121132533	0.0434162809073273	0.94715541053429764	0.95658371909267192	Keijzer 10 f(x, y) = x ^ y	0.062024527756902072	0.053034842888720714	0.95658371909267192	0.12042310583240207	0.95658371909267192	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:04.9161143	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-1.38312174302351 %	316294979	37098	[[0.503][0.497]]
Test_01_Keijzer Run 8	3.26497711872209E-05	108	0.97003264977118719	NaN	7.04509427219169 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.024809424440202787	0.023337483764288517	0.0025366793790681788	0.0019414146309088098	14	30	0.035208080190900486	0.029967350228814346	0.96479875683933036	0.97003264977118719	Keijzer 10 f(x, y) = x ^ y	0.050365458193767865	0.044061486934836983	0.97003264977118719	0.17046413103614566	0.97003264977118719	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.4902076	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	0.003365955792497 %	966074782	37123	[[0.524][0.476]]
Test_01_Keijzer Run 9	-0.0231457989281737	62	0.94685420107182627	NaN	37.4392325245904 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.045296413963357013	0.044160725538122857	0.0046410996764935852	0.0034430148419091026	11	22	0.064416579774450089	0.053145798928174622	0.935972934538532	0.94685420107182627	Keijzer 10 f(x, y) = x ^ y	0.068125616888902993	0.058677208879675785	0.94685420107182627	0.085420841881044388	0.94685420107182627	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.5654264	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-2.38616483795605 %	1534273384	37098	[[0.538][0.462]]
Test_01_Keijzer Run 10	-0.018298774090205638	92	0.95170122590979433	NaN	13.5215633187794 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.041890792768421829	0.041522614341380853	0.0037141760277915633	0.0031290035975061027	14	27	0.051551255751383945	0.048298774090206067	0.94871918316800874	0.95170122590979433	Keijzer 10 f(x, y) = x ^ y	0.060944040133482806	0.055937497240277946	0.95170122590979433	0.1265821684101133	0.95170122590979433	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:06.1981072	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-1.8864715556913 %	1648566105	37158	[[0.629][0.371]]
Test_01_Keijzer Run 11	-0.0081742384211401786	106	0.96182576157885979	NaN	18.6629970116639 %	Lower: -9.23610925392996, Upper: 10.6097715620224	0	0	0	0	0	0	0.037135139978678337	0.031881130622462679	0.00380549026546033	0.0024730923631459635	9	13	0.052818660307490432	0.038174238421139386	0.94784295797564944	0.96182576157885979	Keijzer 10 f(x, y) = x ^ y	0.061688655889558248	0.049730195687790767	0.96182576157885979	0.1120546511019475	0.96182576157885979	Lower: -9.23610925392996, Upper: 10.6097715620224	00:00:05.5751411	Start: 0, End: 100	Keijzer 10 f(x, y) = x ^ y	Keijzer 10 f(x, y) = x ^ y	Start: 100, End: 10301	Start: 0, End: 100	-0.842704991870121 %	1431501893	37133	[[0.555][0.445]]
Test_01_Keijzer Run 1	-0.020294507930213368	25	0.94970549206978661	NaN	241.816512528516 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.63448420564114727	0.52790062899391965	0.5448369563215546	0.3703643369331398	6	9	0.052227583029060623	0.050294507930213554	0.95654400912586013	0.94970549206978661	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.73813071763851867	0.60857566245549111	0.94970549206978661	0.061187231017969558	0.94970549206978661	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:04.8577126	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-2.09221731239313 %	369669952	37103	[[0.564][0.436]]
Test_01_Keijzer Run 2	-0.020294507930213368	33	0.94970549206978661	NaN	241.816512528516 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.634484205641147	0.52790062899391976	0.5448369563215546	0.37036433693313997	6	9	0.052227583029060623	0.050294507930213575	0.95654400912586035	0.94970549206978661	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.73813071763851867	0.60857566245549122	0.94970549206978661	0.03932586573180849	0.94970549206978661	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:04.8520822	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-2.09221731239313 %	454650046	37093	[[0.521][0.479]]
Test_01_Keijzer Run 3	-0.016316371311975719	93	0.95368362868802425	NaN	231.088272579909 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.62246074063463785	0.50498728694678374	0.54112916210973361	0.34106968844214891	13	22	0.051872157194220392	0.046316371311976093	0.9569777023790057	0.95368362868802425	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.73561481912053239	0.58401171943904417	0.95368362868802425	0.0539123849915113	0.95368362868802425	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:05.0903645	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-1.68210013525523 %	106081925	37113	[[0.51][0.49]]
Test_01_Keijzer Run 4	-0.00891389549021504	107	0.96108610450978493	NaN	102.21621889672 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.657195474150426	0.38335102524062431	0.72491908497129642	0.28655850695898677	18	23	0.069490094716233589	0.038913895490214831	0.93356173721369351	0.96108610450978493	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.85142180202957951	0.53531159800529893	0.96108610450978493	0.051374276412869312	0.96108610450978493	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:05.2995214	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-0.918958297960313 %	145146738	37138	[[0.537][0.463]]
Test_01_Keijzer Run 5	-0.0086824548341724039	99	0.96131754516582757	NaN	164.880066030849 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.68221704993144472	0.43594429102410687	0.67830769538874036	0.28485419830498032	11	18	0.065021968625891588	0.038682454834172576	0.94235389917489276	0.96131754516582757	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.823594375520341	0.53371733933326571	0.96131754516582757	0.1155467467979394	0.96131754516582757	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:04.8890696	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-0.895098436512619 %	1726602006	37153	[[0.512][0.488]]
Test_01_Keijzer Run 6	-0.0070729198554188022	67	0.96292708014458117	NaN	261.625628929334 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.66394205363829173	0.44998376469412521	0.76645369008200481	0.27300172415404111	13	21	0.073471564790591942	0.037072919855418184	0.93862975836701035	0.96292708014458117	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.87547340912331817	0.5224956690289797	0.96292708014458117	0.074860465168969437	0.96292708014458117	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:05.1240537	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-0.729166995404 %	191707933	37123	[[0.545][0.455]]
Test_01_Keijzer Run 7	-0.010862865442189951	42	0.95913713455781	NaN	158.470722814411 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.66523614136486786	0.45789389585877949	0.63961364736021631	0.30091055042599041	9	14	0.0613127918112641	0.040862865442190234	0.94661461981040906	0.95913713455781	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.79975849314666	0.54855314275463818	0.95913713455781	0.076279330084401062	0.95913713455781	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:04.8948640	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-1.11988303527731 %	1291663551	37113	[[0.558][0.442]]
Test_01_Keijzer Run 8	-0.019641124631378237	76	0.95035887536862174	NaN	226.878622539569 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.62103194349040014	0.52301380440621714	0.51973720009323887	0.36555287973443124	8	11	0.049821542860137749	0.049641124631378222	0.95775380796403264	0.95035887536862174	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.7209280131145126	0.60460969206127624	0.95035887536862174	0.077027303982844991	0.95035887536862174	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:04.5110416	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-2.02485820942044 %	312978616	37168	[[0.574][0.426]]
Test_01_Keijzer Run 9	-0.011336754695732476	88	0.9586632453042675	NaN	163.487393568004 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.66414986292367828	0.46522539877577651	0.63496665338111657	0.304400229247611	7	12	0.060867335127272687	0.04133675469573244	0.94751047433912183	0.9586632453042675	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.79684794872115761	0.5517247767207949	0.9586632453042675	0.057188784817336032	0.9586632453042675	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:04.7430356	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-1.16873759749819 %	1395686455	37108	[[0.561][0.439]]
Test_01_Keijzer Run 10	-0.009842286722653526	81	0.96015771327734645	NaN	240.307965373463 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.68728179614946439	0.4684554573646838	0.74932037803946627	0.29339509841533196	9	13	0.07182918083171784	0.039842286722653754	0.94380524301238133	0.96015771327734645	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.86563293493227622	0.54165957797802478	0.96015771327734645	0.084390157845693675	0.96015771327734645	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:04.4712647	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-1.01466873429418 %	1243145903	37153	[[0.503][0.497]]
Test_01_Keijzer Run 11	-0.010861948215648787	109	0.95913805178435119	NaN	159.501074360678 %	Lower: -91.3077065713094, Upper: 90.3836720990201	0	0	0	0	0	0	0.66438905430868833	0.45860537265383039	0.637216413355938	0.30090379605033918	9	20	0.06108299510502789	0.040861948215649022	0.94685434457621354	0.95913805178435119	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	0.79825836253429761	0.54854698618289677	0.95913805178435119	0.078815975845418648	0.95913805178435119	Lower: -91.3077065713094, Upper: 90.3836720990201	00:00:05.0408726	Start: 0, End: 20	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Keijzer 11 f(x, y) = xy + sin((x - 1)(y - 1))	Start: 20, End: 3741	Start: 0, End: 20	-1.11978847584008 %	420171384	37143	[[0.503][0.497]]
Test_01_Keijzer Run 1	0.024549329924387631	91	0.9945493299243876	NaN	284.555006479927 %	Lower: -930.458255912683, Upper: 978.134848288753	0	61	0	0	0	0	2.4488124295093145	1.6094087032129445	18.014006528627409	3.8194459551056794	16	49	0.027706102668926473	0.0054506700756125886	0.97332471056496916	0.9945493299243876	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	4.2442910513568	1.9543402864152597	0.9945493299243876	0.10650969402093718	0.9945493299243876	Lower: -930.458255912683, Upper: 978.134848288753	00:00:05.7114818	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	2.53085875509151 %	1207704657	37153	[[0.554][0.446]]
Test_01_Keijzer Run 2	0.023213552955634653	55	0.99321355295563463	NaN	220.342351219397 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	2.1314692277604532	1.8210677059292688	6.077192164057406	4.7554644389711731	9	14	0.00934691068134076	0.0067864470443653093	0.99220363334272488	0.99321355295563463	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	2.4651961715160531	2.1807027397082743	0.99321355295563463	0.12534697760991897	0.99321355295563463	Lower: -930.458255912683, Upper: 978.134848288753	00:00:05.0939282	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	2.39314978924069 %	2080719949	37118	[[0.543][0.457]]
Test_01_Keijzer Run 3	0.02326980828337788	66	0.99326980828337785	NaN	215.458818677446 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	2.1386814326947889	1.8209577451389598	6.1604403242460171	4.7160446647009469	8	11	0.0094749489425414984	0.0067301917166220542	0.99213060238687945	0.99326980828337785	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	2.482023433460292	2.1716456121340211	0.99326980828337785	0.1659660784092665	0.99326980828337785	Lower: -930.458255912683, Upper: 978.134848288753	00:00:04.6765188	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	2.39894930756473 %	1684672375	37128	[[0.505][0.495]]
Test_01_Keijzer Run 4	-0.037906658978597241	107	0.93209334102140273	NaN	136.530353333858 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	7.6550673456921876	4.7466877021433387	98.065472641869007	47.5842071456497	18	39	0.15082774889498363	0.067906658978597115	0.87096705693670773	0.93209334102140273	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	9.902801252265391	6.8981306993742662	0.93209334102140273	0.05558384032565547	0.93209334102140273	Lower: -930.458255912683, Upper: 978.134848288753	00:00:05.7664253	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	-3.90790298748425 %	67635212	37188	[[0.591][0.409]]
Test_01_Keijzer Run 5	0.0041643717010780845	82	0.97416437170107806	NaN	215.74366076586 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	3.73893660382866	3.5486835407308539	24.024997094008924	18.103789925835805	14	22	0.036951193231191982	0.025835628298921578	0.96800317932651769	0.97416437170107806	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	4.9015300768238612	4.2548548654255889	0.97416437170107806	0.072638488568359208	0.97416437170107806	Lower: -930.458255912683, Upper: 978.134848288753	00:00:04.6775436	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	0.429316670214236 %	1867956404	37123	[[0.577][0.423]]
Test_01_Keijzer Run 6	0.015495623407755121	110	0.98549562340775509	NaN	296.181096215023 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	2.9715295968205728	2.8143346210032427	13.203061496370188	10.163646255979689	15	32	0.020306719484155328	0.014504376592245193	0.98313346728784112	0.98549562340775509	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	3.6336017250615384	3.1880474049141254	0.98549562340775509	0.068247971889259851	0.98549562340775509	Lower: -930.458255912683, Upper: 978.134848288753	00:00:05.3149650	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	1.59748694925311 %	1160871231	37133	[[0.605][0.395]]
Test_01_Keijzer Run 7	0.011473087698942952	108	0.98147308769894293	NaN	442.713971310571 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	6.05060483950216	2.9621509493671208	70.739609591978848	12.982356163048346	12	19	0.10879972109483141	0.01852691230105764	0.89935175708769188	0.98147308769894293	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	8.4106842523054475	3.6031036847485178	0.98147308769894293	0.10203017701611562	0.98147308769894293	Lower: -930.458255912683, Upper: 978.134848288753	00:00:04.8301176	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	1.18279254628278 %	1612017379	37158	[[0.511][0.489]]
Test_01_Keijzer Run 8	-0.0078025350844762587	98	0.96219746491552371	NaN	364.477031989891 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	4.3299621251398861	4.5542404189053487	26.775607155694978	26.489355935731435	8	12	0.041181717109938766	0.0378025350844759	0.9600471180239647	0.96219746491552371	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	5.1745151614131908	5.1467811237443772	0.96219746491552371	0.15704577618066567	0.96219746491552371	Lower: -930.458255912683, Upper: 978.134848288753	00:00:04.7277190	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	-0.804385060255284 %	266889986	37143	[[0.564][0.436]]
Test_01_Keijzer Run 9	0.023323899125804237	87	0.99332389912580421	NaN	222.76974313507 %	Lower: -930.458255912683, Upper: 978.134848288753	0	0	0	0	0	0	2.1155285483173984	1.7898332882017818	6.0331504505311813	4.6781416093982848	11	26	0.009279173155281	0.0066761008741959863	0.99221107384003659	0.99332389912580421	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	2.456247229114199	2.1629012019503535	0.99332389912580421	0.13012574050265338	0.99332389912580421	Lower: -930.458255912683, Upper: 978.134848288753	00:00:05.2681936	Start: 0, End: 20	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Keijzer 12 f(x, y) = x^4 - x³ + y² / 2 - y	Start: 20, End: 3741	Start: 0, End: 20	2.4045256830726 %	585689766	37138	[[0.602][0.398]]
