	AbsoluteDifferenceBestKnownToBest	Best training solution generation	Best training solution quality	Best training solution.Average relative error (test)	Best training solution.Average relative error (training)	Best training solution.Estimation Limits Results.Estimation Limits	Best training solution.Estimation Limits Results.Test Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Test NaN Evaluations	Best training solution.Estimation Limits Results.Test Upper Estimation Limit Hits	Best training solution.Estimation Limits Results.Training Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Training NaN Evaluations	Best training solution.Estimation Limits Results.Training Upper Estimation Limit Hits	Best training solution.Mean absolute error (test)	Best training solution.Mean absolute error (training)	Best training solution.Mean squared error (test)	Best training solution.Mean squared error (training)	Best training solution.Model Depth	Best training solution.Model Length	Best training solution.Normalized mean squared error (test)	Best training solution.Normalized mean squared error (training)	Best training solution.Pearson's R² (test)	Best training solution.Pearson's R² (training)	Best training solution.ProblemData	Best training solution.Root mean squared error (test)	Best training solution.Root mean squared error (training)	BestQuality	CurrentAverageQuality	CurrentBestQuality	EstimationLimits	Execution Time	Problem Name	ProblemData	RelativeDifferenceBestKnownToBest	Seed	SymbolicExpressionTreeInterpreter.EvaluatedSolutions	Variable impacts
Test_01_Korn Run 7	0.030000000000000027	10	1	0.00000000000025724655 %	0.00000000000025703408 %	Lower: -7.22911981329686, Upper: 11.0566535177994	0	0	0	0	0	0	4.902700467823706E-15	4.8996806611967255E-15	2.4220011803309431E-29	2.4187579759343532E-29	9	17	5.1129577989426543E-28	5.2153754140127915E-28	1	1	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	4.921383118932058E-15	4.9180870020103883E-15	1	0.057567346764059182	1	Lower: -7.22911981329686, Upper: 11.0566535177994	00:00:21.7634057	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	3.09278350515464 %	61294935	28846	[[0.259][0.238][0.207][0.165][0.132]]
Test_01_Korn Run 8	0.030000000000000027	1	1	0.00000000000023841458 %	0.00000000000023792652 %	Lower: -7.22911981329686, Upper: 11.0566535177994	0	0	0	0	0	0	4.3564707397081296E-15	4.3525627546614487E-15	2.0311649752198504E-29	2.0249862221797068E-29	11	17	4.2878842856593661E-28	4.3663167054946937E-28	0.99999999999999822	1	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	4.5068447668184116E-15	4.4999846912847453E-15	1	0.086577306484166658	1	Lower: -7.22911981329686, Upper: 11.0566535177994	00:00:23.6641320	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	3.09278350515464 %	1465278862	28826	[[0.297][0.247][0.19][0.17][0.096]]
Test_01_Korn Run 9	0.030000000000000027	31	1	0.00000000000023433311 %	0.00000000000023425363 %	Lower: -7.22911981329686, Upper: 11.0566535177994	0	0	0	0	0	0	4.45059544773585E-15	4.4504844254333872E-15	1.9891260845425569E-29	1.9889372509633696E-29	6	8	4.1991382207553018E-28	4.2885871765162686E-28	0.99999999999999978	1	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	4.4599619780246525E-15	4.4597502743577133E-15	1	0.058076226727491166	1	Lower: -7.22911981329686, Upper: 11.0566535177994	00:00:23.6412923	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	3.09278350515464 %	1285109153	28841	[[0.226][0.217][0.212][0.182][0.163]]
Test_01_Korn Run 10	0.030000000000000027	3	1	0.00000000000017481017 %	0.00000000000017463272 %	Lower: -7.22911981329686, Upper: 11.0566535177994	0	0	0	0	0	0	3.194400299832978E-15	3.195110842568738E-15	1.0929633329172516E-29	1.0916577681191108E-29	6	8	2.3072967273426445E-28	2.3538548052395339E-28	0.99999999999999889	1	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	3.3059995960635744E-15	3.3040244674020057E-15	1	0.087657372940902811	1	Lower: -7.22911981329686, Upper: 11.0566535177994	00:00:21.1208018	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	3.09278350515464 %	1071303271	28831	[[0.236][0.225][0.217][0.181][0.14]]
Test_01_Korn Run 11	0.030000000000000027	4	1	0.00000000000022052539 %	0.00000000000022042601 %	Lower: -7.22911981329686, Upper: 11.0566535177994	0	0	0	0	0	0	4.2492231955293393E-15	4.247224794085014E-15	1.8596409764453827E-29	1.8570190000116542E-29	9	13	3.9257890999254367E-28	4.0041423459385722E-28	0.99999999999999845	1	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	4.312355477515024E-15	4.30931433062344E-15	1	0.073951832611041074	1	Lower: -7.22911981329686, Upper: 11.0566535177994	00:00:21.2954272	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	Korns 6 y = 1.3 + (0.13 * sqrt(X0))	3.09278350515464 %	1483669093	28836	[[0.241][0.218][0.209][0.175][0.158]]
Test_01_Korn Run 1	-0.066897563717292163	112	0.90310243628270781	41.1567922468571 %	42.1032566018673 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	505.93384303087555	508.97718634481868	380257.3472105838	386354.27312107681	13	41	0.092010090365747574	0.096897563717292329	0.90799749996719892	0.90310243628270781	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	616.65010111941422	621.57402867323606	0.90310243628270781	0.065886327550803286	0.90310243628270781	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:25.4439671	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-6.89665605332909 %	857266374	28976	[[0.25][0.246][0.209][0.163][0.131]]
Test_01_Korn Run 2	-0.05462785687674887	112	0.9153721431232511	53.1600616753368 %	53.4769895017083 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	477.56233717597655	475.39563229918656	340609.15888656356	337431.95262170932	10	16	0.08241649955864884	0.08462785687675306	0.91762086730717429	0.9153721431232511	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	583.61730516372074	580.8889331203593	0.9153721431232511	0.0946369946931822	0.9153721431232511	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:25.3335697	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-5.63173782234524 %	533073893	28886	[[0.257][0.241][0.175][0.168][0.16]]
Test_01_Korn Run 3	-0.055295478842286805	72	0.91470452115771317	53.3208246996369 %	53.7049326217095 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	479.84030507543	477.73849748182687	343419.05812667246	340093.92459829443	8	14	0.083096405114445965	0.08529547884228969	0.91695091495064174	0.91470452115771317	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	586.01967383925978	583.17572360163831	0.91470452115771317	0.13130276908703761	0.91470452115771317	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:20.6489054	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-5.70056482910173 %	220917910	28876	[[0.269][0.212][0.195][0.19][0.134]]
Test_01_Korn Run 4	-0.041912091422160458	57	0.92808790857783952	45.4481826376835 %	45.0637043114818 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	419.2937522958926	412.420724956672	289436.18233889958	286731.08738922793	9	17	0.0700342793833536	0.071912091422162636	0.92997118276426671	0.92808790857783952	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	537.99273446664643	535.4727699792287	0.92808790857783952	0.11978510126126543	0.92808790857783952	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:19.1248298	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-4.32083416723304 %	454530225	28891	[[0.254][0.249][0.197][0.176][0.124]]
Test_01_Korn Run 5	-0.10394173414127472	110	0.86605826585872525	45.4992293804499 %	46.5717760131616 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	4	0	0	4	0	591.36201453562637	587.028195983762	544895.35568692186	534059.93148459611	13	28	0.13184721159079871	0.13394210919899383	0.86823429358147353	0.86605826585872525	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	738.17027553737341	730.79404176867513	0.86605826585872525	0.069656492708689233	0.86605826585872525	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:21.6307294	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-10.7156426949768 %	693808443	28891	[[0.297][0.245][0.193][0.175][0.089]]
Test_01_Korn Run 6	-0.2496488668715845	112	0.72035113312841548	113.174967925142 %	111.747071006341 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	70	0	0	61	0	804.56080333128079	779.36856055439648	1203970.6703539016	1115333.2148093421	12	18	0.29132231366360334	0.27972531628796582	0.7088967767735489	0.72035113312841548	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	1097.2559730317723	1056.0933740959376	0.72035113312841548	0.075116532143977621	0.72035113312841548	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:20.3891340	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-25.7369965846994 %	1287530811	28896	[[0.252][0.21][0.203][0.201][0.133]]
Test_01_Korn Run 7	-0.053064229749113623	106	0.91693577025088635	51.9289824757866 %	52.2130304806474 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	472.44157120859381	470.02381029353046	334639.50720992434	331197.3890355826	9	20	0.080972035186694935	0.083064229749101617	0.9190591921909913	0.91693577025088635	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	578.480342976254	575.49751436090719	0.91693577025088635	0.11491912966799347	0.91693577025088635	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:20.7475694	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-5.47053914939316 %	7776816	28966	[[0.364][0.238][0.177][0.122][0.099]]
Test_01_Korn Run 8	-0.012423971350893126	102	0.95757602864910685	25.0243274285247 %	25.1163894209683 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	307.30794020559165	306.52449125589231	177291.63090813765	169154.74430299661	12	26	0.042898892291263764	0.042423971350888212	0.95711469460589316	0.95757602864910685	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	421.06012742616423	411.28426216304047	0.95757602864910685	0.095517895956447149	0.95757602864910685	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:25.6652241	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-1.28082178875187 %	936735095	28956	[[0.272][0.212][0.191][0.18][0.145]]
Test_01_Korn Run 9	-0.17840586497272748	112	0.79159413502727249	49.5131348278394 %	55.9341721001386 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	717.53177603260963	717.51256817510739	827908.32430752984	830965.12839711818	9	16	0.20032727912527323	0.20840586497272731	0.79977564214391283	0.79159413502727249	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	909.89467759050547	911.57288704585665	0.79159413502727249	0.039283180362252722	0.79159413502727249	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:22.8509665	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-18.3923572136832 %	89984407	28881	[[0.233][0.23][0.205][0.185][0.148]]
Test_01_Korn Run 10	0.0093550410604809064	112	0.97935504106048088	15.4772431484837 %	15.3632471188386 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	227.04618690285898	226.92616182819737	82401.513332632821	82316.497945835217	10	19	0.019938525168880346	0.020644958939515259	0.98006780078447275	0.97935504106048088	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	287.056637848061	286.90851842675431	0.97935504106048088	0.08341263687050339	0.97935504106048088	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:28.2134789	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	0.96443722272999 %	116004931	28901	[[0.248][0.244][0.242][0.141][0.125]]
Test_01_Korn Run 11	-0.10759629298520057	99	0.8624037070147994	47.5753206628719 %	45.7372231965247 %	Lower: -99922.3236432604, Upper: 106138.886821135	0	0	0	0	0	0	510.519331520429	503.60250924011387	554376.93699280755	548630.05550434452	10	17	0.13414145037188857	0.13759629298520443	0.865963121781747	0.8624037070147994	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	744.56493134770153	740.69565646380329	0.8624037070147994	0.0766683227272929	0.8624037070147994	Lower: -99922.3236432604, Upper: 106138.886821135	00:00:20.6936126	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	Korns 8 y = 6.87 + (11 * sqrt(7.23 * X0 * X3 * X4))	-11.0924013386805 %	590513982	28966	[[0.227][0.225][0.21][0.19][0.149]]
Test_01_Korn Run 1	0.024009377273342958	97	0.99400937727334293	17807.1895854704 %	11874.9592334994 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	10000	0	0	9998	0	150.45836825112335	97.84166943266375	35136779.879103959	569647.21277370723	13	24	1.0005388953419561	0.0060908882796620956	0	0.99400937727334293	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	5927.6285206736729	754.74976831643164	0.99400937727334293	0.0089461487132119627	0.99400937727334293	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:31.1184480	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	2.47519353333433 %	1310509361	28906	[[0.244][0.238][0.202][0.174][0.143]]
Test_01_Korn Run 2	0.023989710609713666	110	0.99398971060971364	2232049778.84075 %	1484650462.10303 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	0	9997	0	0	9999	10185479.408975953	10187269.902048118	103769551854185.94	103790847703999.62	14	24	NaN	NaN	2.2861720180791983E-05	0.99398971060971364	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	10186734.111293273	10187779.331336129	0.99398971060971364	0.0049572933882527691	0.99398971060971364	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:26.0180198	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	2.47316604223852 %	612071767	28886	[[0.339][0.222][0.185][0.155][0.1]]
Test_01_Korn Run 3	-0.16390961969678619	66	0.80609038030321378	16608.6272321584 %	11021.7636107439 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	0	0	0	0	0	276.05908415057974	180.60272108399496	130121070.33369744	18135298.058103234	10	17	3.70526816687079	0.19390961969677881	0.67902370615407581	0.80609038030321378	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	11407.062300772161	4258.5558653260887	0.80609038030321378	0.013995686489426047	0.80609038030321378	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:21.0900467	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	-16.897898937813 %	909674506	28851	[[0.232][0.213][0.196][0.187][0.172]]
Test_01_Korn Run 4	0.023982473164169793	111	0.99398247316416977	18612.5550566737 %	11645.900200422 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	9954	0	0	9955	0	153.78029908785129	98.158483065609687	35270315.179320268	572051.0627003283	18	54	1.0043413855595351	0.0061165911726383075	1.3996272758393372E-08	0.99398247316416977	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	5938.8816438215254	756.340573221038	0.99398247316416977	0.0094038740058197071	0.99398247316416977	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:31.7499490	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	2.47241991383194 %	851862300	28926	[[0.248][0.241][0.216][0.148][0.147]]
Test_01_Korn Run 5	-0.44874351848925786	59	0.52125648151074211	40135.9846263443 %	29252.2576112358 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	9949	0	0	9962	0	375.94757155296907	303.58891498548633	63762483.847562231	44782479.322026752	19	24	1.8156713669438833	0.47883158614716309	3.7294673624577159E-06	0.52125648151074211	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	7985.1414419258872	6691.9712583084774	0.52125648151074211	0.0024206045021182383	0.52125648151074211	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:27.0020950	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	-46.2622184009544 %	712566413	28876	[[0.276][0.218][0.205][0.16][0.141]]
Test_01_Korn Run 6	0.023989311285473103	99	0.99398931128547308	17772.6653133815 %	11845.3759223856 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	9952	0	0	9960	0	150.11306445398964	97.984708190354269	35136744.1155422	571380.7241874825	17	34	1.000537876955101	0.0061094236540412813	3.3411404341414212E-07	0.99398931128547308	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	5927.6255039891148	755.8972973807239	0.99398931128547308	0.0083893897366437344	0.99398931128547308	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:25.8810208	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	2.47312487479104 %	152765358	28911	[[0.23][0.213][0.207][0.201][0.148]]
Test_01_Korn Run 7	0.017994057873465197	108	0.98799405787346517	63226.5230553064 %	13757.3467759473 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	9974	0	0	9972	0	523.88666876923855	116.13880979009559	1071544117.3120447	1131106.7733985705	14	30	NaN	0.012094231016410838	1.080561539594245E-08	0.98799405787346517	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	32734.448480340168	1063.5350362816312	0.98799405787346517	0.0057940876126545927	0.98799405787346517	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:24.4880056	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	1.85505751272837 %	17843405	28876	[[0.289][0.276][0.181][0.138][0.117]]
Test_01_Korn Run 8	0.023990321450898855	105	0.99399032145089883	6948.40272943172 %	5348.72481874697 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	5009	0	0	4955	1	110.19719316697353	1172.866468593616	35133562.4580833	12438408705.067844	11	26	1.0004472775305036	NaN	9.3037989011356356E-05	0.99399032145089883	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	5927.3571225364258	111527.61409206172	0.99399032145089883	0.0061566606644077515	0.99399032145089883	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:24.3727098	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	2.47322901555658 %	565115243	28931	[[0.293][0.21][0.178][0.174][0.144]]
Test_01_Korn Run 9	-0.46261312771446117	103	0.5073868722855388	74579.6412270448 %	323295.309047915 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	5025	0	0	4960	0	393.92003941486951	416.68475265939566	84869260.9559356	46074140.5525702	16	27	2.4166983114989149	0.4926425275052374	5.9794956944416649E-09	0.5073868722855388	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	9212.4514086064846	6787.7934966062576	0.5073868722855388	0.002192031101488085	0.5073868722855388	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:22.8303207	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	-47.6920750221094 %	798349842	28926	[[0.248][0.212][0.201][0.188][0.15]]
Test_01_Korn Run 10	0.023989816682799536	112	0.99398981668279951	16712.5334183868 %	10756.3094664388 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	8881	0	0	8883	1	141.38229014692709	1204.4371891527062	35136006.822985336	12438411678.740473	18	40	1.0005168821490167	NaN	1.0599543528896073E-05	0.99398981668279951	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	5927.5633124400565	111527.62742361407	0.99398981668279951	0.021157783424729081	0.99398981668279951	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:27.0646598	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	2.4731769776082 %	548237901	28891	[[0.225][0.216][0.202][0.195][0.162]]
Test_01_Korn Run 11	0.023604403755667414	81	0.99360440375566739	19405.2919582794 %	11903.0146475796 %	Lower: -10188466.0035426, Upper: 10188304.3019431	0	9992	0	0	9995	0	302.30739107243755	101.1838416576165	101323002.00989293	607447.67331193376	19	52	2.8852275266123173	0.0064950654210493633	4.8679738149089789E-06	0.99360440375566739	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	10065.932744157042	779.38929509708669	0.99360440375566739	0.0039795992966381631	0.99360440375566739	Lower: -10188466.0035426, Upper: 10188304.3019431	00:00:22.8152639	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	Korns 10 y = 0.81 + (24.3 * (((2.0 * X1) + (3.0 * X2²)) / ((4.0 * X3³) + (5.0 * X4^4))))	2.43344368615128 %	988830781	28936	[[0.287][0.198][0.195][0.192][0.127]]
Test_01_Korn Run 1	-0.95436553994784634	88	0.015634460052153666	423.877244127834 %	468.284682450381 %	Lower: -212.9810141875, Upper: 227.018984494263	0	0	0	0	0	0	6.9856365574472958	6.9507407784720856	60.388923670367291	59.944304689613986	11	16	0.98492433253340594	0.984365539947848	0.015097408564367525	0.015634460052153666	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.7710310558102451	7.7423707409044926	0.015634460052153666	0.00026453279031952184	0.015634460052153666	Lower: -212.9810141875, Upper: 227.018984494263	00:00:23.4079488	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-98.3881999946233 %	831300117	28881	[[0.281][0.241][0.18][0.177][0.121]]
Test_01_Korn Run 2	-0.95245664935108187	73	0.017543350648918144	13729.9692159692 %	15219.7479412031 %	Lower: -212.9810141875, Upper: 227.018984494263	0	0	9896	0	0	9883	218.10414583721487	217.87612102891845	48034.056319846386	47973.563923392976	10	17	783.42033578769986	787.78998937751476	0.016765329792454813	0.017543350648918144	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	219.16673178164243	219.02868287827732	0.017543350648918144	0.0005427585795379213	0.017543350648918144	Lower: -212.9810141875, Upper: 227.018984494263	00:00:24.9894009	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-98.1914071495961 %	131600439	28936	[[0.226][0.225][0.198][0.197][0.154]]
Test_01_Korn Run 3	-0.952861210871997	88	0.017138789128002967	150.616562231482 %	155.532422173406 %	Lower: -212.9810141875, Upper: 227.018984494263	0	0	88	0	0	91	9.9596552345830123	10.11405255542873	495.5230921233557	519.99500792235131	13	16	8.0818256246545843	8.53901249491611	0.016356651415866119	0.017138789128002967	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	22.26034797848757	22.803399043176682	0.017138789128002967	0.00024601365676581134	0.017138789128002967	Lower: -212.9810141875, Upper: 227.018984494263	00:00:25.0810304	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-98.2331145228863 %	1851273670	28891	[[0.281][0.207][0.184][0.177][0.15]]
Test_01_Korn Run 4	-0.949013461947593	65	0.020986538052407029	427.294762626536 %	473.199852358923 %	Lower: -212.9810141875, Upper: 227.018984494263	0	9844	0	0	9825	0	6.9535484874911448	6.91818684538736	60.076889991766	59.6240129662686	15	25	0.97983516147445426	0.97910592209384251	0.020385462628577371	0.020986538052407029	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	7.7509283309656531	7.7216586926818129	0.020986538052407029	0.00039687939402213392	0.020986538052407029	Lower: -212.9810141875, Upper: 227.018984494263	00:00:24.5140683	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	Korns 11 y = 6.87 + (11 * cos(7.23 * X0³))	-97.8364393760405 %	1910860231	28931	[[0.394][0.191][0.143][0.139][0.133]]
